"Name","Total Time","Total Time (CPU)","Hits"
"                                                                                           org.hibernate.resource.transaction.spi.TransactionCoordinator.isTransactionActive ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","41"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","41"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","41"
"                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","41"
"                                                                                   com.querydsl.jpa.impl.AbstractJPAQuery.createQuery ()","1,401 ms (-0%)","1,401 ms (-0%)","14"
"                                                                                    com.querydsl.jpa.impl.AbstractJPAQuery.createQuery ()","1,401 ms (-0%)","1,401 ms (-0%)","14"
"                                                                                     com.querydsl.jpa.JPAQueryBase.serialize ()","799 ms (-0%)","799 ms (-0%)","8"
"                                                                                      com.querydsl.jpa.JPAQueryBase.serialize ()","799 ms (-0%)","799 ms (-0%)","8"
"                                                                                       com.querydsl.jpa.JPQLSerializer.serialize ()","799 ms (-0%)","799 ms (-0%)","8"
"                                                                                        com.querydsl.core.support.SerializerBase.handle ()","698 ms (-0%)","698 ms (-0%)","7"
"                                                                                         com.querydsl.core.types.OperationImpl.accept ()","698 ms (-0%)","698 ms (-0%)","7"
"                                                                                          com.querydsl.core.support.SerializerBase.visit ()","698 ms (-0%)","698 ms (-0%)","7"
"                                                                                           com.querydsl.core.support.SerializerBase.visit ()","698 ms (-0%)","698 ms (-0%)","7"
"                                                                                            com.querydsl.jpa.JPQLSerializer.visitOperation ()","698 ms (-0%)","698 ms (-0%)","7"
"                                                                                             com.querydsl.core.support.SerializerBase.visitOperation ()","599 ms (-0%)","599 ms (-0%)","6"
"                                                                                              com.querydsl.core.support.SerializerBase.handle ()","399 ms (-0%)","399 ms (-0%)","4"
"                                                                                               com.querydsl.core.types.PathImpl.accept ()","399 ms (-0%)","399 ms (-0%)","4"
"                                                                                                com.querydsl.jpa.JPQLSerializer.visit ()","399 ms (-0%)","399 ms (-0%)","4"
"                                                                                                 com.querydsl.jpa.JPQLSerializer.visit ()","399 ms (-0%)","399 ms (-0%)","4"
"                                                                                                  com.querydsl.core.support.SerializerBase.visit ()","399 ms (-0%)","399 ms (-0%)","4"
"                                                                                                   com.querydsl.core.support.SerializerBase.handleTemplate ()","200 ms (-0%)","200 ms (-0%)","2"
"                                                                                                   com.querydsl.core.types.Templates.getTemplate ()","199 ms (-0%)","199 ms (-0%)","2"
"                                                                                                    java.util.IdentityHashMap.get ()","199 ms (-0%)","199 ms (-0%)","2"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                              com.querydsl.core.types.Templates.getTemplate ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                               java.util.IdentityHashMap.get ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                              com.querydsl.core.types.Template$ByIndex.convert ()","98.4 ms (-0%)","98.4 ms (-0%)","1"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","6"
"                                                                                             com.querydsl.jpa.HQLTemplates.wrapElements ()","98.6 ms (-0%)","98.6 ms (-0%)","1"
"                                                                                              java.util.Arrays$ArrayList.contains ()","98.6 ms (-0%)","98.6 ms (-0%)","1"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                                                                        com.querydsl.jpa.JPQLSerializer.serializeSources ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                         com.querydsl.jpa.JPQLSerializer.handleJoinTarget ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                          com.querydsl.jpa.JPQLSerializer.getEntityName ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                           jdk.proxy2.$Proxy84.name ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"                                                                                     jdk.proxy2.$Proxy109.createQuery ()","500 ms (-0%)","500 ms (-0%)","5"
"                                                                                      org.springframework.orm.jpa.SharedEntityManagerCreator$SharedEntityManagerInvocationHandler.invoke ()","500 ms (-0%)","500 ms (-0%)","5"
"                                                                                       java.lang.reflect.Method.invoke ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                        jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                         jdk.internal.reflect.GeneratedMethodAccessor64.invoke ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                          jdk.proxy2.$Proxy109.createQuery ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                           org.springframework.orm.jpa.ExtendedEntityManagerCreator$ExtendedEntityManagerInvocationHandler.invoke ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                            java.lang.reflect.Method.invoke ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                             jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                              jdk.internal.reflect.GeneratedMethodAccessor64.invoke ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                               org.hibernate.internal.AbstractSharedSessionContract.createQuery ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                                org.hibernate.internal.AbstractSharedSessionContract.createQuery ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                                 org.hibernate.internal.AbstractSharedSessionContract.createQuery ()","301 ms (-0%)","301 ms (-0%)","3"
"                                                                                                  org.hibernate.internal.SessionImpl.applyQuerySettingsAndHints ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                                   org.hibernate.internal.SessionImpl.applyQuerySettingsAndHints ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                                    org.hibernate.internal.SessionImpl.applyLockOptionsHint ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                                     org.hibernate.jpa.internal.LegacySpecHelper.getInteger ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                                      org.hibernate.jpa.internal.LegacySpecHelper.getValue ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                                       org.hibernate.jpa.internal.LegacySpecHelper.getValue ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                                        org.hibernate.internal.SessionImpl$$Lambda$1212.0x00000008014f6b30.apply ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                                         org.hibernate.internal.SessionImpl.getSessionProperty ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                                          java.util.Collections$UnmodifiableMap.get ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                     java.lang.invoke.Invokers$Holder.linkToTargetMethod ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                                  org.hibernate.internal.AbstractSharedSessionContract.interpretHql ()","98.9 ms (-0%)","98.9 ms (-0%)","1"
"                                                                                                   org.hibernate.query.internal.QueryInterpretationCacheStandardImpl.resolveHqlInterpretation ()","98.9 ms (-0%)","98.9 ms (-0%)","1"
"                                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                  Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                                 Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                                Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                               Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                              Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"                                                                                       java.util.ImmutableCollections$SetN.contains ()","102 ms (-0%)","102 ms (-0%)","1"
"                                                                                       org.springframework.orm.jpa.EntityManagerFactoryUtils.doGetTransactionalEntityManager ()","96.1 ms (-0%)","96.1 ms (-0%)","1"
"                                                                                        org.springframework.transaction.support.TransactionSynchronizationManager.getResource ()","96.1 ms (-0%)","96.1 ms (-0%)","1"
"                                                                                         org.springframework.transaction.support.TransactionSynchronizationManager.doGetResource ()","96.1 ms (-0%)","96.1 ms (-0%)","1"
"                                                                                          java.lang.ThreadLocal.get ()","96.1 ms (-0%)","96.1 ms (-0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","5"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","5"
"                                                                                     com.querydsl.core.support.SerializerBase.toString ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                      java.lang.StringBuilder.toString ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","14"
"                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","14"
"                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","27"
"                                                                                  com.querydsl.core.support.QueryBase.where ()","714 ms (-0%)","714 ms (-0%)","7"
"                                                                                   com.querydsl.core.support.QueryMixin.where ()","714 ms (-0%)","714 ms (-0%)","7"
"                                                                                    com.querydsl.jpa.JPAQueryMixin.convert ()","714 ms (-0%)","714 ms (-0%)","7"
"                                                                                     com.querydsl.core.types.OperationImpl.accept ()","511 ms (-0%)","511 ms (-0%)","5"
"                                                                                      com.querydsl.jpa.JPAMapAccessVisitor.visit ()","406 ms (-0%)","406 ms (-0%)","4"
"                                                                                       com.querydsl.jpa.JPAMapAccessVisitor.visit ()","406 ms (-0%)","406 ms (-0%)","4"
"                                                                                        com.querydsl.core.support.ReplaceVisitor.visit ()","406 ms (-0%)","406 ms (-0%)","4"
"                                                                                         com.querydsl.core.support.ReplaceVisitor.visit ()","406 ms (-0%)","406 ms (-0%)","4"
"                                                                                          com.querydsl.core.util.CollectionUtils.unmodifiableList ()","201 ms (-0%)","201 ms (-0%)","2"
"                                                                                           com.querydsl.core.util.CollectionUtils.isUnmodifiableType ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                            java.lang.Class.getSuperclass[native] ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                           java.util.ArrayList.<init> ()","98.7 ms (-0%)","98.7 ms (-0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                          java.util.Collections$UnmodifiableCollection.iterator ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                          com.querydsl.core.types.PathImpl.accept ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                           com.querydsl.jpa.JPAMapAccessVisitor.visit ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                            com.querydsl.jpa.JPAMapAccessVisitor.visit ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                             com.querydsl.core.support.ReplaceVisitor.visit ()","101 ms (-0%)","101 ms (-0%)","1"
"                                                                                             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"                                                                                      com.querydsl.core.support.ReplaceVisitor.visit ()","104 ms (-0%)","104 ms (-0%)","1"
"                                                                                       com.querydsl.core.support.ReplaceVisitor.visit ()","104 ms (-0%)","104 ms (-0%)","1"
"                                                                                        com.querydsl.core.support.ReplaceVisitor.visit ()","104 ms (-0%)","104 ms (-0%)","1"
"                                                                                         com.querydsl.core.types.PathImpl.accept ()","104 ms (-0%)","104 ms (-0%)","1"
"                                                                                          com.querydsl.jpa.JPAListAccessVisitor.visit ()","104 ms (-0%)","104 ms (-0%)","1"
"                                                                                           com.querydsl.jpa.JPAListAccessVisitor.visit ()","104 ms (-0%)","104 ms (-0%)","1"
"                                                                                            com.querydsl.core.support.ReplaceVisitor.visit ()","104 ms (-0%)","104 ms (-0%)","1"
"                                                                                            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","5"
"                                                                                     com.querydsl.core.types.ExpressionUtils.extract ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                      com.querydsl.core.types.dsl.BooleanOperation.accept ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                                                                    Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                                                                   Self time","0.0 ms (0%)","0.0 ms (0%)","7"
"                                                                                  com.querydsl.jpa.impl.JPAQueryFactory.selectFrom ()","505 ms (-0%)","505 ms (-0%)","5"
"                                                                                   com.querydsl.jpa.impl.JPAQueryFactory.select ()","404 ms (-0%)","404 ms (-0%)","4"
"                                                                                    com.querydsl.jpa.impl.JPAQueryFactory.query ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                     com.querydsl.jpa.impl.JPAQuery.<init> ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                      com.querydsl.jpa.impl.AbstractJPAQuery.<init> ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                       com.querydsl.jpa.JPAQueryBase.<init> ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                        com.querydsl.jpa.JPAQueryMixin.<init> ()","103 ms (-0%)","103 ms (-0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                      com.querydsl.jpa.impl.JPAProvider.getTemplates ()","99.2 ms (-0%)","99.2 ms (-0%)","1"
"                                                                                       jdk.proxy2.$Proxy109.unwrap ()","99.2 ms (-0%)","99.2 ms (-0%)","1"
"                                                                                        org.springframework.orm.jpa.SharedEntityManagerCreator$SharedEntityManagerInvocationHandler.invoke ()","99.2 ms (-0%)","99.2 ms (-0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                     Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                    com.querydsl.jpa.impl.JPAQuery.select ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                     com.querydsl.core.support.QueryMixin.setProjection ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                      com.querydsl.jpa.JPAQueryMixin.convert ()","202 ms (-0%)","202 ms (-0%)","2"
"                                                                                       com.querydsl.core.types.dsl.BeanPath.accept ()","102 ms (-0%)","102 ms (-0%)","1"
"                                                                                        com.querydsl.jpa.JPAMapAccessVisitor.visit ()","102 ms (-0%)","102 ms (-0%)","1"
"                                                                                         com.querydsl.jpa.JPAMapAccessVisitor.visit ()","102 ms (-0%)","102 ms (-0%)","1"
"                                                                                          com.querydsl.core.support.ReplaceVisitor.visit ()","102 ms (-0%)","102 ms (-0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       com.querydsl.jpa.Conversions.convert ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                        com.querydsl.jpa.Conversions.needsNumberConversion ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                         com.querydsl.core.types.ExpressionUtils.extract ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                          com.querydsl.core.types.dsl.BeanPath.accept ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                       Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"                                                                                      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
